,Statement,Ruling,Economics (T/F)
404,White House aide says job growth fastest pace countrys history ,False,T
405,James Webb says stock market tripled value since NUM ,Mostly True,T
406,Lindsey Graham wrong Meet Press Labor participation rate alltime low ,Mostly False,T
407,Ted Cruz says NUM million Americans arent working ,Mostly False,T
408,Jeb Bush says millions given looking work ,Mostly True,T
409,John Boehner says Obamacare puts penalty tax employers every new job create ,Half-True,T
410,CEO Carls Jr says Obamacare caused millions fulltime jobs become parttime ,Half-True,T
411,Obama says automakers paid back loans got admin ,Mostly False,T
412,Barack Obama says US economy creating jobs fastest pace since NUM ,True,T
413,Barack Obama says unemployment rate lower financial crisis NUM ,Mostly True,T
414,Obama Since NUM US created jobs advanced economies combined ,Half-True,T
415,Barack Obama says US auto industry created NUM new jobs past NUM years ,True,T
416,Obama factories opening today two decades ago ,Mostly True,T
417,Warren average family bottom NUM percent made money NUM years ago ,Mostly True,T
418,Mitch McConnell says economic uptick coincides expectation GOP Senate takeover ,False,T
419,Marco Rubio says Castros embargo reason Cubans dont Internet ,Mostly True,T
420,Social media meme says number unemployed risen sharply Barack Obama ,Pants on Fire!,T
421,Obama US put people back work advanced economies combined ,Half-True,T
422,Does raising minimum wage always result job growth ,Mostly False,T
423,Joni Ernst praises Iowa economy compares weak US wage trend ,Mostly False,T
424,Barack Obama says states raised minimum wages higher job growth year ,Half-True,T
425,Thom Tillis says North Carolina near national average unemployment ,Half-True,T
426,Thom Tillis says Kay Hagan voted kill equivalent NUM million jobs ,Mostly False,T
427,Barack Obama says deficit fell NUM percent GDP NUM percent watch ,Half-True,T
428,Do countries higher minimum wage United States  ,Half-True,T
429,Rand Paul says income inequality worse cities Democratic mayors ,Half-True,T
430,Rand Paul rightly says government shutdown expensive keeping open ,True,T
431,Rob Astorino GOP challenger Andrew Cuomo says New York worst recovery recession ,False,T
432,Graham Russia economy size Italy ,Mostly True,T
433,Barack Obama says US recovered recession better almost every advanced country ,Mostly True,T
434,Democratic group says Pennsylvania NUMth job creation Gov Tom Corbett ,Mostly True,T
435,Hillary Clinton says economic stats NUM times better Bill Clinton Ronald Reagan ,False,T
436,Social media meme says Alan Greenspan said insecure workers serve masters gladly ,Pants on Fire!,T
437,Rep Hartzler says ExportImport Bank free taxpayers ,Half-True,T
438,John Boehner says Keystone XL pipeline would create NUM jobs ,False,T
439,Did Republican Senate candidate Tillis cut NUM million North Carolina education budget ,Half-True,T
440,In new book Hillary Clinton touts qualityoflife advances Afghanistan ,Mostly True,T
441,Alison Lundergan Grimes charges Mitch McConnell says job bring jobs Kentucky ,Half-True,T
442,Boehner Obamas climate change policies kill NUM jobs surge electric bills billions ,False,T
443,Social media meme says NUM joined food stamp rolls every job created Barack Obama ,False,T
444,Elizabeth Warren says top five banks NUM percent larger time bailout ,Mostly True,T
445,Does NUM minimum wage get poverty ,Half-True,T
446,Social media meme says lawmakers get NUM raise January NUM ,Half-True,T
447,Pennsylvania Gov Tom Corbett attacks Democratic rival Tom Wolf taxes job losses ,Mostly False,T
448,Barack Obama says average minimum wage worker NUM years old ,Mostly False,T
449,Social media meme says NUM suicides attributable foreclosures ,Pants on Fire!,T
450,Senate Dem group claims Koch brothers support tax breaks outsourcing jobs ,False,T
451,White House says helped minimumwage hike fulltime workers average age NUM ,Half-True,T
452,Rob Portman says average US family earning NUM less five years ago ,True,T
453,Barack Obama says half Republicans agree proposed minimum wage hike ,Mostly True,T
454,John Kerry tells CBS viewers Russian isolation comes big economic risks ,Mostly True,T
455,Barack Obama says fewer black Latino young men participate labor force young white men ,Mostly True,T
456,Bobby Jindal says Louisianas growth outpaced nations since recession ,Mostly True,T
457,NRCC says Congressional Budget Office predicts Obamacare cost economy NUM million jobs ,Mostly False,T
458,Rand Paul says Barack Obama spent nearly trillion dollars makework government jobs ,False,T
459,Business leaders declared China longer worlds No NUM place invest America Obama says ,Mostly True,T
460,Barack Obama says minimum wage higher Ronald Reagans first State Union ,Mostly True,T
461,Rep McMorris Rodgers says people stopped looking job found one ,Half-True,T
462,In State Union Obama says US produces oil buys ,True,T
463,In State Union Obama says average wages barely budged past NUM years ,True,T
464,Labor force participation lowest point since NUM says Texas Sen Ted Cruz ,Mostly True,T
465,Obama says US produces oil imports first time nearly NUM years ,True,T
466,Rep Steve Southerland RFla says NUM percent jobs escape poverty ,Mostly True,T
467,Rand Paul says longer people get unemployment insurance provides disincentive work ,Mostly True,T
468,There NUM unemployed people every job opening Obama adviser says ,True,T
469,Barbara Lee says NUM percent people food assistance working ,Mostly True,T
470,Rob Portman says NUM percent Americans get paid minimum wage ,Mostly True,T
471,Facebook meme says Vladimir Putin accused Barack Obama idiot ,Pants on Fire!,T
472,Barack Obama says minimum wage lower Harry Truman ,Half-True,T
473,Schakowsky said based GDP per capita United States never richer ,True,T
474,Ted Cruz says US averaged NUM percent growth past four years ,Mostly False,T
475,Conservative group says Mary Landrieu backs Obamacare even decreases fulltime employment ,Mostly False,T
476,Half CEOs said shutdown set back hiring plans next NUM months says Obama ,Mostly True,T
477,Louie Gohmert says deficit ballooned NUM billion NUM trillion one year ,Mostly False,T
478,Charles Schumer says Dow Jones lost NUM points last debt ceiling fight ,Mostly True,T
479,John Boehner says US record revenues year ,Half-True,T
480,Robert Reich says sanctions Iran suffering NUM inflation NUM unemployment ,Mostly True,T
481,John Boehner says Americans leaving workforce finding jobs ,Half-True,T
482,Nikki Haley says South Carolina fastest growth Southeast ,Mostly True,T
483,Alan Krueger top economist Obama says new jobs since health care law passed full time ,True,T
484,Susan Collins says year overwhelming majority new jobs part time ,True,T
485,Barack Obama says year best start privatesector job creation since NUM ,Mostly True,T
486,Barack Obama says minimum wage pays less Ronald Reagan sworn ,Mostly True,T
487,Are NUM million Americans working looking work ,Mostly False,T
488,Sen Marco Rubio says NUM small businesses say theyll fire workers cut hours Obamacare ,Pants on Fire!,T
489,Barack Obama says businesses created nearly twice many jobs current recovery previous recovery ,Half-True,T
490,Barack Obama says top NUM percent saw incomes quadruple typical family saw barely budge ,True,T
491,Bernie Sanders says six NUM Americans say wealth distributed equally ,True,T
492,Rep Cathy McMorris Rodgers says fewer working point since NUM ,Half-True,T
493,Does earning NUM Manhattan make middle class ,False,T
494,Rep Virginia Foxx warns mismatch skills available jobs ,Mostly True,T
495,Kevin McCarthy says federal government revenue time ,Mostly False,T
496,Barack Obama says US created half million manufacturing jobs three years ,True,T
497,Sean Hannity says President Barack Obama NUM million fewer Americans working ,False,T
498,Michael Moore said US lost millions jobs per month Bush ,False,T
499,Clint Eastwood says ad US borrows NUMB day much China ,Half-True,T
500,Mitt Romney says Latin Americas economy almost big economy China ,Half-True,T
501,Barack Obama touts record improving employment veterans ,Half-True,T
502,Barack Obama says administration created NUM million jobs ,Half-True,T
503,Mitt Romney ad says Barack Obama NUM unemployed women ,Half-True,T
504,Ad says Barack Obamas spending drove us NUM trillion deeper debt ,Half-True,T
505,Ad says Barack Obama promised jobless rate would NUM Congress passed stimulus ,Mostly False,T
506,Ad says workforce smaller Barack Obama time since Jimmy Carter ,Mostly False,T
507,Unionbacked ad says Mitt Romneys investments created zero jobs ,Pants on Fire!,T
508,Barack Obama says hes responsible NUM percent budget shortfalls ,False,T
509,Mitt Romneyaligned group says real unemployment rate NUM percent ,Mostly False,T
510,Mitt Romney says redistribution never characteristic America ,Pants on Fire!,T
511,Romney ad faults Obama falling incomes ,Half-True,T
512,Romney repeats claim Obama promised unemployment would exceed NUM percent ,Mostly False,T
513,Barack Obama says US gained halfmillion manufacturing jobs ,True,T
514,Strickland credits auto rescue Ohio manufacturing gains ,Half-True,T
515,Bill Clinton says NUM million jobs created Barack Obama ,Mostly True,T
516,Bill Clinton says Democratic presidents top Republican presidents job creation ,True,T
517,Did Mitt Romneys Massachusetts rank NUMth job creation ,Half-True,T
518,Mitt Romney says utility prices risen Barack Obama ,Half-True,T
519,Nikki Haley ties Obama Boeing labor dispute ,Half-True,T
520,Scott Walker says NUM NUM states last month saw unemploymentrate increases ,Half-True,T
521,Sher Valenzuela says regulation big factor holding back small businesses ,Half-True,T
522,Rep Michele Bachmann claims report says presidents policies drive unemployment ,False,T
523,Barack Obamas campaign says recovery outpaced Ronald Reagans job creation ,False,T
524,ProObama group blames Romney womans death ,False,T
525,Mitt Romney says NUM percent cities saw unemployment rise June ,Mostly False,T
526,Republican Jewish Coalition says half recent college grads cant find job ,Mostly True,T
527,Bernie Sanders says Walmart heirs wealth bottom NUM percent Americans ,True,T
528,Putting Mitt Romneys attacks You didnt build TruthOMeter ,False,T
529,Super PAC ad says Mitt Romney outsources jobs India ,Half-True,T
530,ProObama super PAC ad says thousands Chinese workers owe jobs Mitt Romneys companies ,Half-True,T
531,Did Barack Obama hold NUMplus fundraisers jobs council never met ,True,T
532,Were Romneys companies pioneers outsourcing  ,Half-True,T
533,Mitt Romney says reduced Massachusetts unemployment NUM percent ,Half-True,T
534,Barack Obama ad says manufacturing jobs fared worse Massachusetts Romney ,Half-True,T
535,Mitt Romney campaign says job growth Massachusetts accelerated gubernatorial term went ,Half-True,T
536,David Axelrod repeats claim Massachusetts Mitt Romney ranked NUMth job growth ,Half-True,T
537,Crossroads ad says Obama failed stem foreclosure crisis ,Mostly True,T
538,Viral Facebook post says Barack Obama lowest spending record recent president ,Mostly True,T
539,Did Mitt Romney flipflop economic stimulus ,Half Flip,T
540,Barack Obama says government job losses watch unprecedented ,False,T
541,Mitt Romney says creating NUM net jobs month historically normal ,Half-True,T
542,Mitt Romney says youth unemployment rate double Americans ,Half-True,T
543,Barack Obama says family incomes fallen NUM percent ,Half-True,T
544,Tavis Smiley says one two Americans  living either near poverty ,Half-True,T
545,Vice President Joe Biden says General Motors largest corporation world ,False,T
546,President Barack Obama campaign video says auto companies repaid loans ,Half-True,T
547,Obama campaign movie says auto bailout money run took office ,Mostly True,T
548,NRCC ad blames Barack Obama food stamp use rising NUM day ,Half-True,T
549,NRCC ad says NUM jobs lost daily since President Barack Obama took office ,Mostly False,T
550,Citing Congressional Budget Office chamber ad says unemployment could exceed NUM percent ,Mostly False,T
551,Mitt Romney says president told people skip Vegas conventions ,Mostly False,T
552,Mitt Romney says broader measure national unemployment exceeds NUM percent ,True,T
553,In DebbieSpendItNow ad Pete Hoekstra errs unemployment rate statistic ,False,T
554,Sen Rick Santorum says warned meltdown bubble housing market ,Mostly False,T
555,Mitch Daniels says nearly half persons NUM go work today ,Pants on Fire!,T
556,Have privatesector jobs grown NUM million NUM months best annual totals since NUM ,Mostly True,T
557,President Barack Obama says bailout GM worlds top automaker ,Half-True,T
558,Mitt Romney says US median income declined NUM percent last four years ,Half-True,T
559,Rick Santorum says NUM spike oil prices caused Floridas economy falter ,Mostly False,T
560,Mitt Romney says NUM million Americans work ,Half-True,T
561,Newt Gingrich says Obama put people food stamps US President ,Half-True,T
562,Mitt Romney tweets Americans lost jobs Barack Obama president modern history ,Mostly False,T
563,Jon Huntsman accuses Mitt Romney enjoying firing people ,Mostly False,T
564,Mitt Romney says Barack Obama didnt expand US trade deals ,False,T
565,Mitt Romney says US inches away longer free economy ,Pants on Fire!,T
566,Huntsman repeats claim signed flat tax led nation job creation Utah governor ,Half-True,T
567,Mitt Romney says US income almost NUM percent higher Europe ,Mostly True,T
568,Barack Obama reelection video says closed corporate tax loopholes sending profits overseas ,Half-True,T
569,Did Fed create NUM trillion bailout send NUM trillion overseas ,Mostly False,T
570,Newt Gingrich says unemployment dropped people stopped looking work ,Mostly False,T
571,Newt Gingrich says Barack Obama killed jobs energy manufacturing ,Mostly False,T
572,Mitt Romney changes position TARP DNC says ,False,T
573,Republican National Committee Web video attacks Barack Obamas economic record Pennsylvania ,Half-True,T
574,Mitt Romney ad charges Obama said If keep talking economy going lose ,Pants on Fire!,T
575,Drug Addict TV ad says US borrows NUM cents dollar ,Mostly True,T
576,Debbie Wasserman Schultz says Obama created millions manufacturing jobs ,Half-True,T
577,Rachel Maddow says Wall Street fees claim third NUMk values ,Mostly False,T
578,Blog post says GOP sponsored zero job creation bills ,Pants on Fire!,T
579,Harry Reid says clear private sector jobs fine ,Mostly False,T
580,Mitt Romney hits Rick Perry saying NUM percent Texas job growth went illegal immigrants ,Half-True,T
581,Rick Santorum says twoparent families better financially ,Half-True,T
582,Jon Huntsman touts record taxes job creation New Hampshire debate ,Half-True,T
583,Mitt Romney says rising government share threatens free economy ,Mostly False,T
584,Are statistics Occupied Wall Street Journal correct ,Half-True,T
585,Viral Facebook post CEOworker pay ratio obscure past ,False,T
586,Barack Obama says Arab Spring sent gas prices higher ,Half-True,T
587,David Axelrod says typical white male worker earning NUM ,Mostly True,T
588,Gary Johnson says US bankrupt ,False,T
589,Barbara Boxer says NUM richest taxpayers saw incomes grow NUM tax rates fall NUM ,Mostly True,T
590,Nancy Pelosi says jobs increased faster NUM eight years Bush ,Half-True,T
591,Eric Cantor blog post attacks Barack Obama tax soup kitchens ,Mostly False,T
592,Ron Paul says Rick Perry government jobs grew NUM Texas ,Half-True,T
593,Rick Perry says NUM stimulus created zero jobs ,Pants on Fire!,T
594,Michele Bachmann says gasoline cost NUM gallon Barack Obama took office ,True,T
595,Jon Huntsman says Utah No NUM job creation governor ,Half-True,T
596,Barack Obama says payroll tax cut boosted average family income NUM ,Mostly True,T
597,Bachmann says Obama virtually one cabinet privatesector experience ,Pants on Fire!,T
598,Robert Reich says ratio corporate profits wages highest since Great Depression ,True,T
599,Brazile said NUM percent black wealth disappeared downturn ,Mostly True,T
600,Mitt Romney said governor built Massachusetts rainy day fund ,Mostly True,T
601,Romney says government grown NUM percent NUM percent US economy ,Mostly True,T
602,Mitt Romney gets another Pants Fire saying inches away capitalist ,Pants on Fire!,T
603,Ron Paul ad says Democrats want tax increases ,False,T
604,Raul Labrador says tax hike led spike Michigan unemployment ,Mostly False,T
605,Jennifer Granholm says massive government cuts Michigan didnt spur growth ,Mostly True,T
